Close;ETH;
19280;1630;
18790;1558;
19788;1617;
20002;1579;
19835;1558;
19973;1575;
20134;1585;
20058;1555;
19812;1523;
20308;1553;
19558;1426;
20036;1491;
20258;1508;
21563;1695;
21366;1657;
21527;1665;
21395;1627;
21510;1618;
21141;1576;
20839;1610;
23197;1847;
23335;1834;
23856;1877;
24094;1900;
24300;1935;
24425;1984;
24395;1958;
23932;1880;
23954;1853;
23141;1703;
23817;1778;
23178;1700;
22924;1691;
23311;1738;
22612;1607;
22814;1618;
22984;1631;
23259;1630;
23294;1680;
23639;1696;
23764;1721;
23852;1726;
22951;1636;
21271;1451;
21303;1439;
22579;1598;
22446;1550;
22676;1535;
23152;1576;
23209;1520;
23398;1544;
22476;1585;
20781;1338;
21224;1356;
20816;1231;
20578;1193;
20246;1116;
19311;1039;
19945;1096;
20855;1167;
21576;1217;
21600;1217;
21620;1238;
20557;1186;
20169;1134;
20224;1151;
19309;1074;
19230;1067;
19286;1059;
19938;1069;
20107;1100;
20267;1144;
20718;1191;
21067;1198;
21485;1242;
21229;1225;
21071;1144;
19943;1049;
20693;1126;
20554;1128;
20556;1128;
18978;996;
20411;1087;
20394;1069;
22594;1238;
22172;1211;
22487;1206;
26670;1435;
28425;1531;
29103;1663;
30112;1788;
30230;1793;
31149;1813;
31371;1860;
29923;1806;
29877;1805;
29730;1775;
30478;1835;
29832;1818;
31792;1942;
31726;1998;
29476;1814;
29037;1792;
28609;1724;
29213;1793;
29524;1943;
29647;1979;
29091;1973;
30283;2043;
29439;1975;
29202;1960;
30329;2019;
28680;1912;
30442;2091;
29854;2023;
31319;2146;
30104;2056;
29306;2010;
29090;1954;
29095;2079;
31050;2342;
30158;2229;
34084;2520;
35508;2636;
36040;2693;
36577;2747;
39701;2941;
37751;2781;
38520;2856;
38496;2826;
37662;2727;
38600;2817;
39758;2937;
39263;2889;
38139;2810;
40456;3006;
39486;2922;
39447;2932;
39724;2963;
40502;2984;
41366;3076;
41517;3102;
40821;3056;
39708;2989;
40409;3059;
40587;3042;
39948;3022;
41155;3117;
40087;3028;
39565;2978;
42181;3202;
42780;3260;
42277;3194;
43458;3229;
43199;3169;
45481;3407;
46611;3520;
46383;3521;
45825;3442;
46301;3456;
45535;3282;
47035;3386;
47424;3402;
47105;3329;
46836;3296;
44536;3146;
44337;3103;
44003;3111;
42882;3036;
42370;2970;
41031;2892;
41249;2862;
42214;2950;
41774;2940;
40943;2812;
41148;2774;
39317;2617;
39717;2589;
37777;2517;
38816;2570;
38737;2557;
39459;2607;
41962;2727;
38757;2577;
38039;2493;
38437;2549;
39408;2665;
39171;2622;
42490;2835;
43952;2947;
44442;2976;
43202;2922;
37734;2616;
39125;2776;
39243;2767;
38380;2596;
37292;2578;
38299;2637;
37054;2570;
38420;2619;
40141;2764;
40037;2779;
40556;2894;
43885;3122;
44560;3182;
42560;2929;
42091;2871;
42239;2917;
42418;2928;
43545;3072;
44432;3243;
44061;3116;
43865;3140;
42423;3056;
41454;3013;
41563;2995;
37331;2693;
36925;2681;
38733;2787;
38526;2687;
37939;2603;
38197;2600;
37760;2546;
37217;2425;
36831;2461;
36994;2458;
36702;2441;
36308;2540;
35103;2412;
36501;2571;
40740;3004;
41676;3084;
42390;3160;
42242;3209;
43084;3346;
43069;3328;
43091;3308;
42562;3242;
43909;3370;
42743;3238;
41839;3085;
41850;3150;
41679;3080;
41518;3195;
43111;3407;
43418;3535;
45830;3791;
46445;3764;
47314;3831;
47755;3765;
46218;3678;
47156;3709;
46465;3627;
47554;3793;
50684;4036;
50797;4061;
50437;4093;
50815;4043;
50812;4110;
48626;3979;
48923;4016;
46898;3944;
46717;3926;
46879;3960;
46193;3878;
47675;3956;
48901;4019;
48408;3860;
46777;3780;
50123;4132;
49363;4075;
47170;3904;
47611;4108;
50503;4435;
50634;4307;
50567;4353;
49469;4195;
49272;4118;
53709;4218;
56517;4513;
57250;4583;
56938;4631;
57845;4443;
57325;4298;
54836;4094;
53738;4034;
58995;4520;
57209;4270;
57602;4340;
56299;4087;
58790;4268;
59739;4408;
58130;4295;
57014;4003;
60386;4291;
60124;4208;
63562;4563;
65471;4626;
64406;4645;
64156;4665;
64801;4721;
64954;4634;
66935;4732;
67526;4808;
63259;4612;
61496;4517;
61016;4475;
61423;4536;
62904;4602;
63249;4586;
60927;4321;
61330;4288;
61839;4322;
62235;4414;
60598;4285;
58453;3922;
60290;4130;
63100;4220;
60847;4083;
61302;4169;
60708;3971;
62200;4054;
65988;4160;
64237;3877;
62034;3748;
61511;3845;
60868;3828;
61709;3869;
57354;3790;
57381;3607;
55967;3489;
57468;3545;
54701;3415;
54978;3574;
53925;3559;
53793;3587;
55331;3576;
51508;3518;
49252;3383;
48243;3416;
47675;3388;
48157;3310;
43830;3000;
41551;2852;
41064;2808;
42191;2926;
43180;3063;
42711;2922;
42878;2928;
44882;3153;
43583;3078;
40664;2765;
43002;2976;
47239;3328;
48309;3436;
47292;3398;
47786;3568;
48136;3611;
47078;3431;
44960;3285;
46069;3408;
45169;3267;
44852;3211;
46389;3423;
46088;3499;
46778;3422;
52676;3927;
51762;3951;
49899;3885;
50000;3935;
49291;3786;
48844;3836;
47157;3429;
47008;3229;
48800;3222;
48914;3244;
49076;3274;
46832;3092;
48989;3228;
47714;3173;
49539;3323;
49264;3238;
48868;3224;
49332;3284;
46765;3183;
44744;3016;
44698;3012;
45940;3147;
47031;3308;
47084;3264;
47842;3322;
44423;3047;
45546;3163;
45612;3139;
46293;3162;
43770;3014;
44589;3159;
42830;2891;
40887;2828;
39754;2725;
38207;2508;
39156;2607;
39922;2555;
41409;2529;
42169;2461;
40041;2382;
40004;2300;
39563;2301;
37296;2228;
35407;2191;
33845;2151;
33597;2125;
32320;2025;
32141;1994;
29806;1785;
30847;1818;
31824;1891;
31559;1899;
31429;1877;
31857;1918;
32823;1995;
32727;1941;
33090;2032;
34239;2140;
33506;2110;
33769;2146;
32874;2115;
33886;2317;
34140;2310;
33668;2196;
35289;2321;
34758;2223;
33816;2155;
33554;2108;
35044;2275;
35896;2164;
34484;2085;
34717;1980;
32359;1831;
31584;1811;
34657;1990;
33703;1968;
32553;1877;
31761;1886;
35631;2243;
35586;2165;
35802;2233;
38061;2372;
38332;2368;
40139;2544;
40500;2581;
39004;2508;
35531;2369;
37338;2354;
36649;2469;
37347;2611;
33415;2507;
33596;2594;
35782;2712;
35543;2629;
36854;2687;
39209;2857;
37590;2706;
36673;2633;
37305;2706;
35615;2387;
34570;2278;
35667;2411;
38435;2741;
39301;2884;
38363;2705;
38773;2649;
34730;2094;
37585;2293;
37415;2431;
40578;2768;
36755;2436;
42935;3376;
43544;3279;
46583;3580;
46785;3645;
49917;4073;
49747;3718;
49725;3822;
56715;4174;
55851;3950;
58276;3922;
58894;3908;
57349;3479;
56451;3488;
57477;3524;
53264;3233;
57147;3428;
56605;2952;
57774;2944;
57637;2772;
53566;2756;
54860;2747;
55044;2663;
54103;2533;
49116;2319;
50167;2212;
51139;2368;
51781;2402;
53822;2357;
56476;2330;
55639;2160;
56163;2237;
59970;2316;
61325;2422;
63196;2514;
62943;2433;
63518;2299;
59900;2137;
60035;2144;
59824;2125;
58114;2063;
58110;2078;
55960;1961;
57991;2113;
59145;2105;
58240;2075;
57023;2008;
58959;2134;
58727;1967;
58796;1918;
58841;1841;
57672;1816;
55773;1687;
55886;1712;
54993;1699;
51363;1588;
52347;1586;
54331;1669;
54074;1683;
57368;1783;
58087;1805;
58074;1808;
57640;1778;
58870;1823;
56924;1806;
55644;1793;
59005;1849;
61207;1922;
57315;1766;
57869;1824;
55955;1795;
54949;1869;
52395;1833;
51031;1725;
48895;1649;
48811;1528;
48368;1539;
50425;1568;
48526;1487;
49572;1570;
45300;1418;
46217;1458;
46319;1445;
47144;1479;
49715;1624;
48888;1578;
54078;1777;
57376;1934;
55838;1916;
55847;1955;
51566;1937;
52060;1847;
49225;1783;
47941;1780;
48587;1801;
47177;1815;
47389;1839;
47966;1785;
44835;1741;
46486;1769;
46440;1749;
38841;1612;
39257;1677;
38260;1720;
36975;1595;
37677;1662;
35563;1511;
33559;1373;
33141;1313;
34334;1376;
34281;1379;
33331;1328;
30454;1241;
32519;1366;
32268;1319;
32298;1390;
32099;1233;
33062;1234;
30873;1110;
35521;1378;
35958;1369;
36699;1258;
35903;1234;
36055;1229;
36741;1169;
39170;1233;
37375;1011;
34103;1050;
35476;1089;
38226;1256;
40171;1245;
40509;1235;
39407;1220;
36755;1202;
33996;1100;
32020;1043;
32971;978;
32185;775;
29346;729;
28933;736;
28880;752;
27315;732;
27058;730;
26241;685;
26412;636;
24717;627;
23735;613;
23234;585;
23805;637;
22701;608;
23427;639;
23804;658;
23127;654;
22807;643;
21322;638;
19459;589;
19281;586;
19180;591;
