Date	Sentiment	Close	Variation
07/09/2022	24	19280	2.61Ê
06/09/2022	22	18790	-5.04Ê
05/09/2022	23	19788	-1.07Ê
04/09/2022	20	20002	0.84Ê
03/09/2022	21	19835	-0.69Ê
02/09/2022	25	19973	-0.80Ê
01/09/2022	20	20134	0.38Ê
31/08/2022	23	20058	1.24Ê
30/08/2022	27	19812	-2.44Ê
29/08/2022	24	20308	3.84Ê
28/08/2022	28	19558	-2.39Ê
27/08/2022	28	20036	-1.10Ê
26/08/2022	27	20258	-6.05Ê
25/08/2022	25	21563	0.92Ê
24/08/2022	25	21366	-0.75Ê
23/08/2022	28	21527	0.62Ê
22/08/2022	29	21395	-0.53Ê
21/08/2022	27	21510	1.75Ê
20/08/2022	29	21141	1.45Ê
19/08/2022	33	20839	-10.16Ê
18/08/2022	30	23197	-0.59Ê
17/08/2022	41	23335	-2.18Ê
16/08/2022	44	23856	-0.99Ê
15/08/2022	45	24094	-0.85Ê
14/08/2022	47	24300	-0.51Ê
13/08/2022	46	24425	0.12Ê
12/08/2022	42	24395	1.94Ê
11/08/2022	41	23932	-0.09Ê
10/08/2022	31	23954	3.51Ê
09/08/2022	42	23141	-2.84Ê
08/08/2022	30	23817	2.76Ê
07/08/2022	30	23178	1.11Ê
06/08/2022	31	22924	-1.66Ê
05/08/2022	31	23311	3.09Ê
04/08/2022	30	22612	-0.89Ê
03/08/2022	34	22814	-0.74Ê
02/08/2022	31	22984	-1.18Ê
01/08/2022	33	23259	-0.15Ê
31/07/2022	39	23294	-1.46Ê
30/07/2022	42	23639	-0.53Ê
29/07/2022	39	23764	-0.37Ê
28/07/2022	32	23852	3.92Ê
27/07/2022	28	22951	7.90Ê
26/07/2022	26	21271	-0.15Ê
25/07/2022	30	21303	-5.65Ê
24/07/2022	30	22579	0.59Ê
23/07/2022	31	22446	-1.01Ê
22/07/2022	33	22676	-2.06Ê
21/07/2022	34	23152	-0.25Ê
20/07/2022	31	23209	-0.81Ê
19/07/2022	30	23398	4.10Ê
18/07/2022	20	22476	8.16Ê
17/07/2022	24	20781	-2.09Ê
16/07/2022	21	21224	1.96Ê
15/07/2022	15	20816	1.16Ê
14/07/2022	18	20578	1.64Ê
13/07/2022	15	20246	4.84Ê
12/07/2022	16	19311	-3.18Ê
11/07/2022	22	19945	-4.36Ê
10/07/2022	24	20855	-3.34Ê
09/07/2022	24	21576	-0.11Ê
08/07/2022	20	21600	-0.09Ê
07/07/2022	18	21620	5.17Ê
06/07/2022	18	20557	1.92Ê
05/07/2022	19	20169	-0.27Ê
04/07/2022	14	20224	4.74Ê
03/07/2022	11	19309	0.41Ê
02/07/2022	14	19230	-0.29Ê
01/07/2022	11	19286	-3.27Ê
30/06/2022	11	19938	-0.84Ê
29/06/2022	13	20107	-0.79Ê
28/06/2022	10	20267	-2.18Ê
27/06/2022	12	20718	-1.66Ê
26/06/2022	14	21067	-1.95Ê
25/06/2022	14	21485	1.21Ê
24/06/2022	11	21229	0.75Ê
23/06/2022	11	21071	5.66Ê
22/06/2022	11	19943	-3.62Ê
21/06/2022	9	20693	0.68Ê
