Date;Close;
07/09/2022;19280;
06/09/2022;18790;
05/09/2022;19788;
04/09/2022;20002;
03/09/2022;19835;
02/09/2022;19973;
01/09/2022;20134;
31/08/2022;20058;
30/08/2022;19812;
29/08/2022;20308;
28/08/2022;19558;
27/08/2022;20036;
26/08/2022;20258;
25/08/2022;21563;
24/08/2022;21366;
23/08/2022;21527;
22/08/2022;21395;
21/08/2022;21510;
20/08/2022;21141;
19/08/2022;20839;
18/08/2022;23197;
17/08/2022;23335;
16/08/2022;23856;
15/08/2022;24094;
14/08/2022;24300;
13/08/2022;24425;
12/08/2022;24395;
11/08/2022;23932;
10/08/2022;23954;
09/08/2022;23141;
08/08/2022;23817;
07/08/2022;23178;
06/08/2022;22924;
05/08/2022;23311;
04/08/2022;22612;
03/08/2022;22814;
02/08/2022;22984;
01/08/2022;23259;
31/07/2022;23294;
30/07/2022;23639;
29/07/2022;23764;
28/07/2022;23852;
27/07/2022;22951;
26/07/2022;21271;
25/07/2022;21303;
24/07/2022;22579;
23/07/2022;22446;
22/07/2022;22676;
21/07/2022;23152;
20/07/2022;23209;
19/07/2022;23398;
18/07/2022;22476;
17/07/2022;20781;
16/07/2022;21224;
15/07/2022;20816;
14/07/2022;20578;
13/07/2022;20246;
12/07/2022;19311;
11/07/2022;19945;
10/07/2022;20855;
09/07/2022;21576;
08/07/2022;21600;
07/07/2022;21620;
06/07/2022;20557;
05/07/2022;20169;
04/07/2022;20224;
03/07/2022;19309;
02/07/2022;19230;
01/07/2022;19286;
30/06/2022;19938;
29/06/2022;20107;
28/06/2022;20267;
27/06/2022;20718;
26/06/2022;21067;
25/06/2022;21485;
24/06/2022;21229;
23/06/2022;21071;
22/06/2022;19943;
21/06/2022;20693;
20/06/2022;20554;
19/06/2022;20556;
18/06/2022;18978;
17/06/2022;20411;
16/06/2022;20394;
15/06/2022;22594;
14/06/2022;22172;
13/06/2022;22487;
12/06/2022;26670;
11/06/2022;28425;
10/06/2022;29103;
