Date;Sentiment;Close;
07/09/2022;24;19280;
06/09/2022;22;18790;
05/09/2022;23;19788;
04/09/2022;20;20002;
03/09/2022;21;19835;
02/09/2022;25;19973;
01/09/2022;20;20134;
31/08/2022;23;20058;
30/08/2022;27;19812;
29/08/2022;24;20308;
28/08/2022;28;19558;
27/08/2022;28;20036;
26/08/2022;27;20258;
25/08/2022;25;21563;
24/08/2022;25;21366;
23/08/2022;28;21527;
22/08/2022;29;21395;
21/08/2022;27;21510;
20/08/2022;29;21141;
19/08/2022;33;20839;
18/08/2022;30;23197;
17/08/2022;41;23335;
16/08/2022;44;23856;
15/08/2022;45;24094;
14/08/2022;47;24300;
13/08/2022;46;24425;
12/08/2022;42;24395;
11/08/2022;41;23932;
10/08/2022;31;23954;
09/08/2022;42;23141;
08/08/2022;30;23817;
07/08/2022;30;23178;
06/08/2022;31;22924;
05/08/2022;31;23311;
04/08/2022;30;22612;
03/08/2022;34;22814;
02/08/2022;31;22984;
01/08/2022;33;23259;
31/07/2022;39;23294;
30/07/2022;42;23639;
29/07/2022;39;23764;
28/07/2022;32;23852;
27/07/2022;28;22951;
26/07/2022;26;21271;
25/07/2022;30;21303;
24/07/2022;30;22579;
23/07/2022;31;22446;
22/07/2022;33;22676;
21/07/2022;34;23152;
20/07/2022;31;23209;
19/07/2022;30;23398;
18/07/2022;20;22476;
17/07/2022;24;20781;
16/07/2022;21;21224;
15/07/2022;15;20816;
14/07/2022;18;20578;
13/07/2022;15;20246;
12/07/2022;16;19311;
11/07/2022;22;19945;
10/07/2022;24;20855;
09/07/2022;24;21576;
08/07/2022;20;21600;
07/07/2022;18;21620;
06/07/2022;18;20557;
05/07/2022;19;20169;
04/07/2022;14;20224;
03/07/2022;11;19309;
02/07/2022;14;19230;
01/07/2022;11;19286;
30/06/2022;11;19938;
29/06/2022;13;20107;
28/06/2022;10;20267;
27/06/2022;12;20718;
26/06/2022;14;21067;
25/06/2022;14;21485;
24/06/2022;11;21229;
23/06/2022;11;21071;
22/06/2022;11;19943;
21/06/2022;9;20693;
20/06/2022;9;20554;
19/06/2022;6;20556;
18/06/2022;6;18978;
17/06/2022;9;20411;
16/06/2022;7;20394;
15/06/2022;7;22594;
14/06/2022;8;22172;
13/06/2022;11;22487;
12/06/2022;14;26670;
11/06/2022;12;28425;
10/06/2022;13;29103;
09/06/2022;11;30112;
08/06/2022;17;30230;
07/06/2022;15;31149;
06/06/2022;13;31371;
05/06/2022;10;29923;
04/06/2022;14;29877;
03/06/2022;10;29730;
02/06/2022;13;30478;
01/06/2022;17;29832;
31/05/2022;16;31792;
30/05/2022;10;31726;
29/05/2022;14;29476;
28/05/2022;13;29037;
27/05/2022;12;28609;
26/05/2022;12;29213;
25/05/2022;11;29524;
24/05/2022;12;29647;
23/05/2022;10;29091;
22/05/2022;14;30283;
21/05/2022;13;29439;
20/05/2022;13;29202;
19/05/2022;13;30329;
18/05/2022;12;28680;
17/05/2022;8;30442;
16/05/2022;14;29854;
15/05/2022;10;31319;
