Date;Sentiment;Prix;ETH;Vol;Haut;Bas;Variation;
07/09/2022;24;19280;1630;6.19;19457;18561;2.61;
06/09/2022;22;18790;1558;12.12;20183;18692;-5.04;
05/09/2022;23;19788;1617;2.25;20045;19646;-1.07;
04/09/2022;20;20002;1579;2.04;20020;19590;0.84;
03/09/2022;21;19835;1558;1.65;20062;19667;-0.69;
02/09/2022;25;19973;1575;6.3;20441;19770;-0.80;
01/09/2022;20;20134;1585;5.94;20212;19587;0.38;
31/08/2022;23;20058;1555;4.64;20483;19812;1.24;
30/08/2022;27;19812;1523;5.33;20574;19574;-2.44;
29/08/2022;24;20308;1553;4.13;20412;19566;3.84;
28/08/2022;28;19558;1426;3.23;20163;19540;-2.39;
27/08/2022;28;20036;1491;2.55;20362;19852;-1.10;
26/08/2022;27;20258;1508;11.23;21866;20134;-6.05;
25/08/2022;25;21563;1695;3.22;21809;21320;0.92;
24/08/2022;25;21366;1657;5.41;21861;21160;-0.75;
23/08/2022;28;21527;1665;4.92;21671;20909;0.62;
22/08/2022;29;21395;1627;3.44;21527;20910;-0.53;
21/08/2022;27;21510;1618;2.31;21773;21077;1.75;
20/08/2022;29;21141;1576;2.04;21366;20769;1.45;
19/08/2022;33;20839;1610;9.53;23204;20793;-10.16;
18/08/2022;30;23197;1847;3.02;23599;23124;-0.59;
17/08/2022;41;23335;1834;6.13;24433;23180;-2.18;
16/08/2022;44;23856;1877;2.77;24234;23686;-0.99;
15/08/2022;45;24094;1900;8.93;25203;23776;-0.85;
14/08/2022;47;24300;1935;2.74;25003;24151;-0.51;
13/08/2022;46;24425;1984;4.05;24880;24307;0.12;
12/08/2022;42;24395;1958;3.56;24441;23603;1.94;
11/08/2022;41;23932;1880;5.88;24877;23861;-0.09;
10/08/2022;31;23954;1853;8.78;24215;22665;3.51;
09/08/2022;42;23141;1703;4.07;23912;22888;-2.84;
08/08/2022;30;23817;1778;2.9;24224;23164;2.76;
07/08/2022;30;23178;1700;2.15;23397;22837;1.11;
06/08/2022;31;22924;1691;1.26;23341;22903;-1.66;
05/08/2022;31;23311;1738;7.08;23462;22596;3.09;
04/08/2022;30;22612;1607;4.6;23210;22390;-0.89;
03/08/2022;34;22814;1618;4.75;23627;22684;-0.74;
02/08/2022;31;22984;1631;4.22;23439;22676;-1.18;
01/08/2022;33;23259;1630;5.57;23499;22882;-0.15;
31/07/2022;39;23294;1680;3.15;24211;23233;-1.46;
30/07/2022;42;23639;1696;4.3;24641;23520;-0.53;
29/07/2022;39;23764;1721;5.03;24426;23456;-0.37;
28/07/2022;32;23852;1726;6.63;24172;22601;3.92;
27/07/2022;28;22951;1636;7.47;23098;21056;7.90;
26/07/2022;26;21271;1451;4.43;21329;20738;-0.15;
25/07/2022;30;21303;1439;4.42;22663;21262;-5.65;
24/07/2022;30;22579;1598;2.34;23001;22262;0.59;
23/07/2022;31;22446;1550;2.69;22993;21949;-1.01;
22/07/2022;33;22676;1535;5.07;23729;22517;-2.06;
21/07/2022;34;23152;1576;8.12;23409;22350;-0.25;
20/07/2022;31;23209;1520;8.44;24276;22915;-0.81;
19/07/2022;30;23398;1544;10.21;23783;21599;4.10;
18/07/2022;20;22476;1585;8.52;22749;20763;8.16;
17/07/2022;24;20781;1338;3.17;21666;20751;-2.09;
16/07/2022;21;21224;1356;3.4;21590;20477;1.96;
15/07/2022;15;20816;1231;3.59;21190;20376;1.16;
14/07/2022;18;20578;1193;6.06;20880;19647;1.64;
13/07/2022;15;20246;1116;12;20283;18927;4.84;
12/07/2022;16;19311;1039;6.78;20038;19244;-3.18;
11/07/2022;22;19945;1096;6.61;20865;19876;-4.36;
10/07/2022;24;20855;1167;2.88;21590;20678;-3.34;
09/07/2022;24;21576;1217;2.2;21967;21336;-0.11;
08/07/2022;20;21600;1217;11.6;22405;21198;-0.09;
07/07/2022;18;21620;1238;5.6;21809;20253;5.17;
06/07/2022;18;20557;1186;4.32;20666;19765;1.92;
05/07/2022;19;20169;1134;4.45;20723;19290;-0.27;
04/07/2022;14;20224;1151;3.55;20318;19057;4.74;
03/07/2022;11;19309;1074;2.35;19638;18774;0.41;
02/07/2022;14;19230;1067;1.67;19442;18994;-0.29;
01/07/2022;11;19286;1059;5.19;20795;18993;-3.27;
30/06/2022;11;19938;1069;5.75;20146;18643;-0.84;
29/06/2022;13;20107;1100;3.38;20428;19886;-0.79;
28/06/2022;10;20267;1144;2.39;21200;20204;-2.18;
27/06/2022;12;20718;1191;2.79;21509;20551;-1.66;
26/06/2022;14;21067;1198;2.8;21871;21000;-1.95;
25/06/2022;14;21485;1242;2.3;21575;20899;1.21;
24/06/2022;11;21229;1225;5.8;21526;20704;0.75;
23/06/2022;11;21071;1144;6.14;21163;19866;5.66;
22/06/2022;11;19943;1049;7.26;20848;19739;-3.62;
21/06/2022;9;20693;1126;8.18;21670;20341;0.68;
20/06/2022;9;20554;1128;6.68;20984;19628;-0.01;
19/06/2022;6;20556;1128;11.68;20744;17950;8.31;
18/06/2022;6;18978;996;17.93;20688;17611;-7.02;
17/06/2022;9;20411;1087;24.02;21347;20254;0.08;
16/06/2022;7;20394;1069;6.74;22996;20253;-9.74;
15/06/2022;7;22594;1238;17.56;22805;20089;1.90;
14/06/2022;8;22172;1211;16.45;23326;20873;-1.40;
13/06/2022;11;22487;1206;42.72;26922;22017;-15.68;
12/06/2022;14;26670;1435;8.91;28558;26640;-6.17;
11/06/2022;12;28425;1531;3.75;29452;28138;-2.33;
10/06/2022;13;29103;1663;4.85;30367;28864;-3.35;
09/06/2022;11;30112;1788;2.1;30712;29957;-0.39;
08/06/2022;17;30230;1793;2.65;31331;29887;-2.95;
07/06/2022;15;31149;1813;6.42;31577;29231;-0.71;
06/06/2022;13;31371;1860;4.78;31764;29907;4.84;
05/06/2022;10;29923;1806;1.72;30196;29541;0.16;
04/06/2022;14;29877;1805;1.5;29981;29506;0.49;
03/06/2022;10;29730;1775;3.04;30707;29346;-2.45;
02/06/2022;13;30478;1835;5.93;30712;29620;2.17;
01/06/2022;17;29832;1818;4.84;31974;29354;-6.17;
31/05/2022;16;31792;1942;2.92;32391;31220;0.21;
30/05/2022;10;31726;1998;7.93;32191;29311;7.63;
29/05/2022;14;29476;1814;2.57;29586;28851;1.51;
28/05/2022;13;29037;1792;1.65;29259;28528;1.50;
27/05/2022;12;28609;1724;4.37;29378;28267;-2.07;
26/05/2022;12;29213;1793;5.54;29859;28005;-1.05;
25/05/2022;11;29524;1943;2.15;30218;29345;-0.41;
24/05/2022;12;29647;1979;2.91;29822;28690;1.91;
23/05/2022;10;29091;1973;2.79;30666;28868;-3.94;
22/05/2022;14;30283;2043;2.68;30466;29253;2.87;
21/05/2022;13;29439;1975;1.28;29652;28963;0.81;
20/05/2022;13;29202;1960;3.94;30764;28713;-3.72;
19/05/2022;13;30329;2019;4.49;30542;28673;5.75;
18/05/2022;12;28680;1912;3.94;30702;28634;-5.79;
17/05/2022;8;30442;2091;3.07;30766;29446;1.97;
16/05/2022;14;29854;2023;4.52;31324;29083;-4.68;
15/05/2022;10;31319;2146;2.74;31416;29483;4.04;
14/05/2022;9;30104;2056;4.13;30346;28674;2.72;
13/05/2022;10;29306;2010;8.72;31068;28831;0.74;
12/05/2022;12;29090;1954;34.25;30224;26600;-0.02;
11/05/2022;12;29095;2079;28.73;32181;27902;-6.30;
10/05/2022;10;31050;2342;14.17;32681;29845;2.96;
09/05/2022;11;30158;2229;21.24;34259;30114;-11.52;
08/05/2022;18;34084;2520;6.58;35540;33779;-4.01;
07/05/2022;23;35508;2636;3.78;36163;34879;-1.48;
06/05/2022;22;36040;2693;7.6;36684;35315;-1.47;
05/05/2022;27;36577;2747;9.74;39843;36209;-7.87;
04/05/2022;21;39701;2941;5.26;39996;37695;5.17;
03/05/2022;27;37751;2781;3.62;38674;37555;-2.00;
02/05/2022;28;38520;2856;3.59;39184;38091;0.06;
01/05/2022;22;38496;2826;3.06;38689;37426;2.21;
30/04/2022;20;37662;2727;2.91;38792;37633;-2.43;
29/04/2022;23;38600;2817;3.19;39927;38201;-2.91;
28/04/2022;24;39758;2937;4.65;40364;38922;1.26;
27/04/2022;21;39263;2889;4.2;39478;37901;2.95;
26/04/2022;27;38139;2810;4.73;40800;37762;-5.73;
25/04/2022;23;40456;3006;6.01;40588;38200;2.46;
24/04/2022;24;39486;2922;2.19;39949;38963;0.10;
23/04/2022;24;39447;2932;1.92;40008;39312;-0.70;
22/04/2022;26;39724;2963;4.13;40799;39195;-1.92;
21/04/2022;27;40502;2984;4.56;42977;39807;-2.09;
20/04/2022;27;41366;3076;3.73;42195;40905;-0.36;
19/04/2022;27;41517;3102;2.4;41743;40601;1.70;
18/04/2022;24;40821;3056;4.99;41123;38557;2.80;
17/04/2022;28;39708;2989;1.66;40611;39567;-1.74;
16/04/2022;28;40409;3059;1.49;40717;40033;-0.44;
15/04/2022;22;40587;3042;2.21;40807;39792;1.60;
14/04/2022;28;39948;3022;3.17;41510;39604;-2.93;
13/04/2022;25;41155;3117;4.57;41540;39607;2.66;
12/04/2022;20;40087;3028;4.11;40649;39300;1.32;
11/04/2022;32;39565;2978;6.7;42437;39274;-6.20;
10/04/2022;34;42181;3202;3.03;43460;41933;-1.40;
09/04/2022;30;42780;3260;1.92;42824;42137;1.19;
